
  Migration name  Batch / Status  
  0001_01_01_000000_create_users_table  [1] Ran  
  0001_01_01_000001_create_cache_table  [1] Ran  
  0001_01_01_000002_create_jobs_table  [1] Ran  
  2025_11_05_064659_create_productos_table  [1] Ran  
  2025_11_05_064705_create_entradas_table  [1] Ran  
  2025_11_05_064711_create_salidas_table  [1] Ran  
  2025_11_17_000001_add_user_id_to_productos_table  [1] Ran  
  2025_11_19_000001_add_estado_to_productos_table  [1] Ran  
  2025_11_19_000002_add_unique_nombre_to_productos_table  [1] Ran  
  2025_11_19_000003_add_photo_to_users_table  [1] Ran  
  2025_11_19_000004_add_codigo_to_productos_table  [1] Ran  
  2026_03_14_000000_create_reportes_table  Pending  

